pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
80.46,-74.0,0.0,top,D1,,,LED_D5.0mm,POWER,tht
179.2,-60.45,-90.0,bottom,J1,,,PinHeader_1x04_P2.54mm_Horizontal,Speaker/Reset/Power,tht
159.925,-66.625,-90.0,bottom,J2,,,PinHeader_1x05_P2.54mm_Horizontal,Columns,tht
133.84,-66.625,-90.0,bottom,J3,,,PinHeader_1x08_P2.54mm_Horizontal,Rows,tht
78.0,-142.0,0.0,bottom,J4,,,PinSocket_1x01_P2.54mm_Vertical,Faceplate GND,tht
196.0,-60.0,-90.0,bottom,LS1,,,PinHeader_1x02_P2.54mm_Vertical,Speaker,tht
91.27,-71.38,-90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,300Ω,tht
95.28,-78.9752,90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
99.29,-78.9752,90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
103.3,-78.9752,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
107.31,-78.9752,90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
111.32,-78.9752,90.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
115.33,-78.9752,90.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
119.34,-78.9752,90.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
123.35,-78.9752,90.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
65.0,-88.0,0.0,top,SW1,,,SW_PUSH_6mm_H8.5mm,1,tht
216.0,-88.0,0.0,top,SW10,,,SW_PUSH_6mm_H8.5mm,0,tht
65.0,-102.0,0.0,top,SW11,,,SW_PUSH_6mm_H8.5mm,Q,tht
82.0,-102.0,0.0,top,SW12,,,SW_PUSH_6mm_H8.5mm,W,tht
99.0,-102.0,0.0,top,SW13,,,SW_PUSH_6mm_H8.5mm,E,tht
115.0,-102.0,0.0,top,SW14,,,SW_PUSH_6mm_H8.5mm,R,tht
132.0,-102.0,0.0,top,SW15,,,SW_PUSH_6mm_H8.5mm,T,tht
149.0,-102.0,0.0,top,SW16,,,SW_PUSH_6mm_H8.5mm,Y,tht
166.0,-102.0,0.0,top,SW17,,,SW_PUSH_6mm_H8.5mm,U,tht
182.0,-102.0,0.0,top,SW18,,,SW_PUSH_6mm_H8.5mm,I,tht
199.0,-102.0,0.0,top,SW19,,,SW_PUSH_6mm_H8.5mm,O,tht
82.0,-88.0,0.0,top,SW2,,,SW_PUSH_6mm_H8.5mm,2,tht
216.0,-102.0,0.0,top,SW20,,,SW_PUSH_6mm_H8.5mm,P,tht
65.0,-117.0,0.0,top,SW21,,,SW_PUSH_6mm_H8.5mm,A,tht
82.0,-117.0,0.0,top,SW22,,,SW_PUSH_6mm_H8.5mm,S,tht
99.0,-117.0,0.0,top,SW23,,,SW_PUSH_6mm_H8.5mm,D,tht
115.0,-117.0,0.0,top,SW24,,,SW_PUSH_6mm_H8.5mm,F,tht
132.0,-117.0,0.0,top,SW25,,,SW_PUSH_6mm_H8.5mm,G,tht
149.0,-117.0,0.0,top,SW26,,,SW_PUSH_6mm_H8.5mm,H,tht
166.0,-117.0,0.0,top,SW27,,,SW_PUSH_6mm_H8.5mm,J,tht
182.0,-117.0,0.0,top,SW28,,,SW_PUSH_6mm_H8.5mm,K,tht
199.0,-117.0,0.0,top,SW29,,,SW_PUSH_6mm_H8.5mm,L,tht
99.0,-88.0,0.0,top,SW3,,,SW_PUSH_6mm_H8.5mm,3,tht
216.0,-117.0,0.0,top,SW30,,,SW_PUSH_6mm_H8.5mm,ENTER,tht
65.0,-131.0,0.0,top,SW31,,,SW_PUSH_6mm_H8.5mm,CAPS_SHIFT,tht
82.0,-131.0,0.0,top,SW32,,,SW_PUSH_6mm_H8.5mm,Z,tht
99.0,-131.0,0.0,top,SW33,,,SW_PUSH_6mm_H8.5mm,X,tht
115.0,-131.0,0.0,top,SW34,,,SW_PUSH_6mm_H8.5mm,C,tht
132.0,-131.0,0.0,top,SW35,,,SW_PUSH_6mm_H8.5mm,V,tht
149.0,-131.0,0.0,top,SW36,,,SW_PUSH_6mm_H8.5mm,B,tht
166.0,-131.0,0.0,top,SW37,,,SW_PUSH_6mm_H8.5mm,N,tht
182.0,-131.0,0.0,top,SW38,,,SW_PUSH_6mm_H8.5mm,M,tht
199.0,-131.0,0.0,top,SW39,,,SW_PUSH_6mm_H8.5mm,SYMBOL_SHIFT,tht
115.0,-88.0,0.0,top,SW4,,,SW_PUSH_6mm_H8.5mm,4,tht
216.0,-131.0,0.0,top,SW40,,,SW_PUSH_6mm_H8.5mm,BREAK_SPACE,tht
199.0,-73.0,0.0,top,SW41,,,SW_PUSH_6mm_H8.5mm,RESET/СБРОС,tht
132.0,-88.0,0.0,top,SW5,,,SW_PUSH_6mm_H8.5mm,5,tht
